CustomerID,SurveyDate,SatisfactionScore,CustomerFeedback,AgeGroup,Gender,Region,RepeatCustomer
CUST00001,2024-01-01 00:00:00,7.0,Customer support was helpful.,36-45,Male,North America,0
CUST00002,2024-01-01 01:00:00,4.0,Delivery was late.,36-45,Male,Asia,0
CUST00003,2024-01-01 02:00:00,8.0,Very satisfied!,60+,Non-Binary,North America,1
CUST00004,2024-01-01 03:00:00,5.482161270365023,Price is too high.,36-45,Female,Australia,0
CUST00005,2024-01-01 04:00:00,7.0,Price is too high.,36-45,Non-Binary,North America,0
CUST00006,2024-01-01 05:00:00,10.0,Had issues with billing.,26-35,Prefer not to say,Africa,0
CUST00007,2024-01-01 06:00:00,3.0,Customer support was helpful.,36-45,Male,Asia,1
CUST00008,2024-01-01 07:00:00,7.0,Customer support was helpful.,60+,Male,North America,0
CUST00009,2024-01-01 08:00:00,8.0,Product did not meet expectations.,18-25,Non-Binary,Asia,1
CUST00010,2024-01-01 09:00:00,5.0,Website was easy to use.,18-25,Female,North America,0
CUST00011,2024-01-01 10:00:00,4.0,Customer support was helpful.,18-25,Female,North America,0
CUST00012,2024-01-01 11:00:00,8.0,Product quality needs improvement.,60+,Prefer not to say,Asia,1
CUST00013,2024-01-01 12:00:00,8.0,Website was easy to use.,18-25,Male,Africa,1
CUST00014,2024-01-01 13:00:00,3.0,Product quality needs improvement.,26-35,Non-Binary,North America,0
CUST00015,2024-01-01 14:00:00,6.0,Price is too high.,60+,Non-Binary,Africa,0
CUST00016,2024-01-01 15:00:00,5.0,Website was easy to use.,60+,Male,Europe,0
CUST00017,2024-01-01 16:00:00,2.0,Customer support was helpful.,60+,Non-Binary,South America,1
CUST00018,2024-01-01 17:00:00,8.0,Delivery was late.,36-45,Male,Europe,0
CUST00019,2024-01-01 18:00:00,6.0,Had issues with billing.,36-45,Female,South America,1
CUST00020,2024-01-01 19:00:00,2.0,Product quality needs improvement.,36-45,Female,Europe,0
CUST00021,2024-01-01 20:00:00,5.0,Website was easy to use.,46-60,Non-Binary,South America,0
CUST00022,2024-01-01 21:00:00,1.0,Customer support was helpful.,26-35,Female,North America,0
CUST00023,2024-01-01 22:00:00,10.0,Website was easy to use.,60+,Female,Asia,0
CUST00024,2024-01-01 23:00:00,6.0,Customer support was helpful.,60+,Prefer not to say,Asia,0
CUST00025,2024-01-02 00:00:00,9.0,Customer support was helpful.,36-45,Male,Australia,0
CUST00026,2024-01-02 01:00:00,1.0,Customer support was helpful.,60+,Male,South America,0
CUST00027,2024-01-02 02:00:00,10.0,Product did not meet expectations.,60+,Non-Binary,Australia,1
CUST00028,2024-01-02 03:00:00,3.0,Had issues with billing.,18-25,Male,Africa,0
CUST00029,2024-01-02 04:00:00,7.0,Delivery was late.,60+,Prefer not to say,Africa,0
CUST00030,2024-01-02 05:00:00,4.0,Delivery was late.,46-60,Non-Binary,Australia,0
CUST00031,2024-01-02 06:00:00,9.0,Website was easy to use.,36-45,Non-Binary,South America,0
CUST00032,2024-01-02 07:00:00,3.0,Website was easy to use.,26-35,Male,Asia,1
CUST00033,2024-01-02 08:00:00,5.0,Customer support was helpful.,26-35,Female,South America,1
CUST00034,2024-01-02 09:00:00,3.0,Product did not meet expectations.,18-25,Female,Africa,0
CUST00035,2024-01-02 10:00:00,7.0,Customer support was helpful.,26-35,Female,North America,0
CUST00036,2024-01-02 11:00:00,5.0,Product did not meet expectations.,26-35,Female,Australia,1
CUST00037,2024-01-02 12:00:00,9.0,Customer support was helpful.,36-45,Prefer not to say,Australia,1
CUST00038,2024-01-02 13:00:00,7.0,Product quality needs improvement.,36-45,Non-Binary,Africa,1
CUST00039,2024-01-02 14:00:00,2.0,Product quality needs improvement.,46-60,Female,South America,0
CUST00040,2024-01-02 15:00:00,4.0,Price is too high.,18-25,Prefer not to say,Australia,1
CUST00041,2024-01-02 16:00:00,9.0,Customer support was helpful.,26-35,Non-Binary,Asia,1
CUST00042,2024-01-02 17:00:00,2.0,Had issues with billing.,46-60,Male,Australia,0
CUST00043,2024-01-02 18:00:00,10.0,Price is too high.,18-25,Male,South America,0
CUST00044,2024-01-02 19:00:00,9.0,Website was easy to use.,26-35,Prefer not to say,Africa,0
CUST00045,2024-01-02 20:00:00,10.0,Very satisfied!,26-35,Non-Binary,Asia,1
CUST00046,2024-01-02 21:00:00,5.0,Customer support was helpful.,36-45,Female,Asia,1
CUST00047,2024-01-02 22:00:00,2.0,Product quality needs improvement.,60+,Non-Binary,Australia,1
CUST00048,2024-01-02 23:00:00,4.0,Very satisfied!,18-25,Female,South America,1
CUST00049,2024-01-03 00:00:00,7.0,Product did not meet expectations.,26-35,Prefer not to say,Australia,0
CUST00050,2024-01-03 01:00:00,8.0,Very satisfied!,18-25,Female,North America,1
CUST00051,2024-01-03 02:00:00,3.0,Had issues with billing.,46-60,Prefer not to say,Africa,0
CUST00052,2024-01-03 03:00:00,1.0,Customer support was helpful.,46-60,Non-Binary,North America,1
CUST00053,2024-01-03 04:00:00,4.0,Delivery was late.,60+,Non-Binary,Asia,1
CUST00054,2024-01-03 05:00:00,2.0,Very satisfied!,26-35,Female,Australia,1
CUST00055,2024-01-03 06:00:00,8.0,Delivery was late.,36-45,Non-Binary,North America,0
CUST00056,2024-01-03 07:00:00,4.0,Product did not meet expectations.,26-35,Female,Europe,1
CUST00057,2024-01-03 08:00:00,2.0,Price is too high.,18-25,Non-Binary,North America,0
CUST00058,2024-01-03 09:00:00,6.0,Delivery was late.,46-60,Male,Australia,0
CUST00059,2024-01-03 10:00:00,6.0,Price is too high.,18-25,Female,Australia,0
CUST00060,2024-01-03 11:00:00,10.0,Product quality needs improvement.,60+,Prefer not to say,Africa,0
CUST00061,2024-01-03 12:00:00,4.0,Customer support was helpful.,46-60,Male,North America,1
CUST00062,2024-01-03 13:00:00,6.0,Very satisfied!,36-45,Prefer not to say,Australia,1
CUST00063,2024-01-03 14:00:00,2.0,Product quality needs improvement.,46-60,Non-Binary,Australia,0
CUST00064,2024-01-03 15:00:00,10.0,Product quality needs improvement.,26-35,Male,Africa,0
CUST00065,2024-01-03 16:00:00,2.0,Shipping was fast.,26-35,Non-Binary,Africa,1
CUST00066,2024-01-03 17:00:00,10.0,Great service!,46-60,Female,Africa,1
CUST00067,2024-01-03 18:00:00,4.0,Had issues with billing.,60+,Prefer not to say,Africa,0
CUST00068,2024-01-03 19:00:00,8.0,Price is too high.,26-35,Non-Binary,Europe,1
CUST00069,2024-01-03 20:00:00,7.0,Shipping was fast.,26-35,Prefer not to say,Asia,1
CUST00070,2024-01-03 21:00:00,9.0,Great service!,36-45,Prefer not to say,Australia,1
CUST00071,2024-01-03 22:00:00,8.0,Had issues with billing.,46-60,Non-Binary,South America,0
CUST00072,2024-01-03 23:00:00,5.0,Price is too high.,26-35,Female,Africa,0
CUST00073,2024-01-04 00:00:00,2.0,Customer support was helpful.,60+,Prefer not to say,Asia,0
CUST00074,2024-01-04 01:00:00,5.0,Had issues with billing.,18-25,Non-Binary,Africa,0
CUST00075,2024-01-04 02:00:00,8.0,Very satisfied!,46-60,Female,Asia,0
CUST00076,2024-01-04 03:00:00,10.0,Product quality needs improvement.,36-45,Non-Binary,South America,1
CUST00077,2024-01-04 04:00:00,9.0,Great service!,26-35,Female,North America,1
CUST00078,2024-01-04 05:00:00,9.0,Great service!,60+,Prefer not to say,Europe,1
CUST00079,2024-01-04 06:00:00,1.0,Great service!,46-60,Male,Australia,0
CUST00080,2024-01-04 07:00:00,9.0,Price is too high.,60+,Non-Binary,North America,1
CUST00081,2024-01-04 08:00:00,7.0,Very satisfied!,60+,Prefer not to say,South America,0
CUST00082,2024-01-04 09:00:00,9.0,Had issues with billing.,36-45,Non-Binary,Europe,0
CUST00083,2024-01-04 10:00:00,8.0,Product quality needs improvement.,46-60,Non-Binary,Europe,0
CUST00084,2024-01-04 11:00:00,1.0,Very satisfied!,26-35,Female,Europe,0
CUST00085,2024-01-04 12:00:00,8.0,Shipping was fast.,36-45,Non-Binary,South America,0
CUST00086,2024-01-04 13:00:00,8.0,Customer support was helpful.,26-35,Female,Africa,0
CUST00087,2024-01-04 14:00:00,3.0,Delivery was late.,18-25,Prefer not to say,Africa,1
CUST00088,2024-01-04 15:00:00,1.0,Very satisfied!,60+,Non-Binary,Africa,0
CUST00089,2024-01-04 16:00:00,8.0,Shipping was fast.,18-25,Prefer not to say,North America,1
CUST00090,2024-01-04 17:00:00,3.0,Product quality needs improvement.,60+,Male,Australia,0
CUST00091,2024-01-04 18:00:00,3.0,Delivery was late.,36-45,Prefer not to say,Europe,1
CUST00092,2024-01-04 19:00:00,1.0,Delivery was late.,26-35,Non-Binary,Europe,0
CUST00093,2024-01-04 20:00:00,5.0,Very satisfied!,26-35,Male,North America,0
CUST00094,2024-01-04 21:00:00,10.0,Great service!,36-45,Female,Africa,1
CUST00095,2024-01-04 22:00:00,7.0,Website was easy to use.,46-60,Male,Europe,0
CUST00096,2024-01-04 23:00:00,10.0,Product quality needs improvement.,18-25,Non-Binary,Europe,0
CUST00097,2024-01-05 00:00:00,9.0,Great service!,18-25,Non-Binary,South America,1
CUST00098,2024-01-05 01:00:00,7.0,Product quality needs improvement.,26-35,Prefer not to say,Asia,1
CUST00099,2024-01-05 02:00:00,9.0,Website was easy to use.,26-35,Female,North America,0
CUST00100,2024-01-05 03:00:00,8.0,Customer support was helpful.,26-35,Non-Binary,North America,1
CUST00101,2024-01-05 04:00:00,2.0,Website was easy to use.,36-45,Non-Binary,Africa,1
CUST00102,2024-01-05 05:00:00,1.0,Product did not meet expectations.,46-60,Female,North America,0
CUST00103,2024-01-05 06:00:00,7.0,Very satisfied!,18-25,Female,Africa,1
CUST00104,2024-01-05 07:00:00,7.0,Very satisfied!,60+,Prefer not to say,South America,0
CUST00105,2024-01-05 08:00:00,8.0,Shipping was fast.,36-45,Male,South America,1
CUST00106,2024-01-05 09:00:00,5.0,Great service!,18-25,Female,Australia,0
CUST00107,2024-01-05 10:00:00,3.0,Shipping was fast.,46-60,Non-Binary,Africa,0
CUST00108,2024-01-05 11:00:00,8.0,Product did not meet expectations.,36-45,Female,South America,0
CUST00109,2024-01-05 12:00:00,6.0,Website was easy to use.,18-25,Non-Binary,Africa,1
CUST00110,2024-01-05 13:00:00,3.0,Very satisfied!,36-45,Prefer not to say,North America,0
CUST00111,2024-01-05 14:00:00,1.0,Price is too high.,18-25,Male,Australia,1
CUST00112,2024-01-05 15:00:00,3.0,Website was easy to use.,18-25,Prefer not to say,Asia,0
CUST00113,2024-01-05 16:00:00,5.0,Website was easy to use.,46-60,Female,Europe,0
CUST00114,2024-01-05 17:00:00,3.0,Product did not meet expectations.,60+,Non-Binary,Europe,0
