CustomerID,SurveyDate,SatisfactionScore,CustomerFeedback,AgeGroup,Gender,Region,RepeatCustomer,Sentiment,YearMonth,CleanFeedback,IssueCategory
CUST00001,2024-01-01 00:00:00,7.0,Customer support was helpful.,36-45,Male,North America,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00002,2024-01-01 01:00:00,4.0,Delivery was late.,36-45,Male,Asia,0,Negative,2024-01,delivery late,Delivery Issues
CUST00003,2024-01-01 02:00:00,8.0,Very satisfied!,60+,Non-Binary,North America,1,Positive,2024-01,satisfied,Other
CUST00004,2024-01-01 03:00:00,,Price is too high.,36-45,Female,Australia,0,Positive,2024-01,price high,Pricing
CUST00005,2024-01-01 04:00:00,7.0,Price is too high.,36-45,Non-Binary,North America,0,Positive,2024-01,price high,Pricing
CUST00006,2024-01-01 05:00:00,10.0,Had issues with billing.,26-35,Prefer not to say,Africa,0,Neutral,2024-01,issues billing,Other
CUST00007,2024-01-01 06:00:00,3.0,Customer support was helpful.,36-45,Male,Asia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00008,2024-01-01 07:00:00,7.0,Customer support was helpful.,60+,Male,North America,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00009,2024-01-01 08:00:00,8.0,Product did not meet expectations.,18-25,Non-Binary,Asia,1,Neutral,2024-01,product meet expectations,Other
CUST00010,2024-01-01 09:00:00,5.0,Website was easy to use.,18-25,Female,North America,0,Positive,2024-01,website easy use,Other
CUST00011,2024-01-01 10:00:00,4.0,Customer support was helpful.,18-25,Female,North America,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00012,2024-01-01 11:00:00,8.0,Product quality needs improvement.,60+,Prefer not to say,Asia,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00013,2024-01-01 12:00:00,8.0,Website was easy to use.,18-25,Male,Africa,1,Positive,2024-01,website easy use,Other
CUST00014,2024-01-01 13:00:00,3.0,Product quality needs improvement.,26-35,Non-Binary,North America,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00015,2024-01-01 14:00:00,6.0,Price is too high.,60+,Non-Binary,Africa,0,Positive,2024-01,price high,Pricing
CUST00016,2024-01-01 15:00:00,5.0,Website was easy to use.,60+,Male,Europe,0,Positive,2024-01,website easy use,Other
CUST00017,2024-01-01 16:00:00,2.0,Customer support was helpful.,60+,Non-Binary,South America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00018,2024-01-01 17:00:00,8.0,Delivery was late.,36-45,Male,Europe,0,Negative,2024-01,delivery late,Delivery Issues
CUST00019,2024-01-01 18:00:00,6.0,Had issues with billing.,36-45,Female,South America,1,Neutral,2024-01,issues billing,Other
CUST00020,2024-01-01 19:00:00,2.0,Product quality needs improvement.,36-45,Female,Europe,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00021,2024-01-01 20:00:00,5.0,Website was easy to use.,46-60,Non-Binary,South America,0,Positive,2024-01,website easy use,Other
CUST00022,2024-01-01 21:00:00,1.0,Customer support was helpful.,26-35,Female,North America,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00023,2024-01-01 22:00:00,10.0,Website was easy to use.,60+,Female,Asia,0,Positive,2024-01,website easy use,Other
CUST00024,2024-01-01 23:00:00,6.0,Customer support was helpful.,60+,Prefer not to say,Asia,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00025,2024-01-02 00:00:00,9.0,Customer support was helpful.,36-45,Male,Australia,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00026,2024-01-02 01:00:00,1.0,Customer support was helpful.,60+,Male,South America,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00027,2024-01-02 02:00:00,10.0,Product did not meet expectations.,60+,Non-Binary,Australia,1,Neutral,2024-01,product meet expectations,Other
CUST00028,2024-01-02 03:00:00,3.0,Had issues with billing.,18-25,Male,Africa,0,Neutral,2024-01,issues billing,Other
CUST00029,2024-01-02 04:00:00,7.0,Delivery was late.,60+,Prefer not to say,Africa,0,Negative,2024-01,delivery late,Delivery Issues
CUST00030,2024-01-02 05:00:00,4.0,Delivery was late.,46-60,Non-Binary,Australia,0,Negative,2024-01,delivery late,Delivery Issues
CUST00031,2024-01-02 06:00:00,9.0,Website was easy to use.,36-45,Non-Binary,South America,0,Positive,2024-01,website easy use,Other
CUST00032,2024-01-02 07:00:00,3.0,Website was easy to use.,26-35,Male,Asia,1,Positive,2024-01,website easy use,Other
CUST00033,2024-01-02 08:00:00,5.0,Customer support was helpful.,26-35,Female,South America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00034,2024-01-02 09:00:00,3.0,Product did not meet expectations.,18-25,Female,Africa,0,Neutral,2024-01,product meet expectations,Other
CUST00035,2024-01-02 10:00:00,7.0,Customer support was helpful.,26-35,Female,North America,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00036,2024-01-02 11:00:00,5.0,Product did not meet expectations.,26-35,Female,Australia,1,Neutral,2024-01,product meet expectations,Other
CUST00037,2024-01-02 12:00:00,9.0,Customer support was helpful.,36-45,Prefer not to say,Australia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00038,2024-01-02 13:00:00,7.0,Product quality needs improvement.,36-45,Non-Binary,Africa,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00039,2024-01-02 14:00:00,2.0,Product quality needs improvement.,46-60,Female,South America,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00040,2024-01-02 15:00:00,4.0,Price is too high.,18-25,Prefer not to say,Australia,1,Positive,2024-01,price high,Pricing
CUST00041,2024-01-02 16:00:00,9.0,Customer support was helpful.,26-35,Non-Binary,Asia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00042,2024-01-02 17:00:00,2.0,Had issues with billing.,46-60,Male,Australia,0,Neutral,2024-01,issues billing,Other
CUST00043,2024-01-02 18:00:00,10.0,Price is too high.,18-25,Male,South America,0,Positive,2024-01,price high,Pricing
CUST00044,2024-01-02 19:00:00,9.0,Website was easy to use.,26-35,Prefer not to say,Africa,0,Positive,2024-01,website easy use,Other
CUST00045,2024-01-02 20:00:00,10.0,Very satisfied!,26-35,Non-Binary,Asia,1,Positive,2024-01,satisfied,Other
CUST00046,2024-01-02 21:00:00,5.0,Customer support was helpful.,36-45,Female,Asia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00047,2024-01-02 22:00:00,2.0,Product quality needs improvement.,60+,Non-Binary,Australia,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00048,2024-01-02 23:00:00,4.0,Very satisfied!,18-25,Female,South America,1,Positive,2024-01,satisfied,Other
CUST00049,2024-01-03 00:00:00,7.0,Product did not meet expectations.,26-35,Prefer not to say,Australia,0,Neutral,2024-01,product meet expectations,Other
CUST00050,2024-01-03 01:00:00,8.0,Very satisfied!,18-25,Female,North America,1,Positive,2024-01,satisfied,Other
CUST00051,2024-01-03 02:00:00,3.0,Had issues with billing.,46-60,Prefer not to say,Africa,0,Neutral,2024-01,issues billing,Other
CUST00052,2024-01-03 03:00:00,1.0,Customer support was helpful.,46-60,Non-Binary,North America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00053,2024-01-03 04:00:00,4.0,Delivery was late.,60+,Non-Binary,Asia,1,Negative,2024-01,delivery late,Delivery Issues
CUST00054,2024-01-03 05:00:00,2.0,Very satisfied!,26-35,Female,Australia,1,Positive,2024-01,satisfied,Other
CUST00055,2024-01-03 06:00:00,8.0,Delivery was late.,36-45,Non-Binary,North America,0,Negative,2024-01,delivery late,Delivery Issues
CUST00056,2024-01-03 07:00:00,4.0,Product did not meet expectations.,26-35,Female,Europe,1,Neutral,2024-01,product meet expectations,Other
CUST00057,2024-01-03 08:00:00,2.0,Price is too high.,18-25,Non-Binary,North America,0,Positive,2024-01,price high,Pricing
CUST00058,2024-01-03 09:00:00,6.0,Delivery was late.,46-60,Male,Australia,0,Negative,2024-01,delivery late,Delivery Issues
CUST00059,2024-01-03 10:00:00,6.0,Price is too high.,18-25,Female,Australia,0,Positive,2024-01,price high,Pricing
CUST00060,2024-01-03 11:00:00,10.0,Product quality needs improvement.,60+,Prefer not to say,Africa,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00061,2024-01-03 12:00:00,4.0,Customer support was helpful.,46-60,Male,North America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00062,2024-01-03 13:00:00,6.0,Very satisfied!,36-45,Prefer not to say,Australia,1,Positive,2024-01,satisfied,Other
CUST00063,2024-01-03 14:00:00,2.0,Product quality needs improvement.,46-60,Non-Binary,Australia,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00064,2024-01-03 15:00:00,10.0,Product quality needs improvement.,26-35,Male,Africa,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00065,2024-01-03 16:00:00,2.0,Shipping was fast.,26-35,Non-Binary,Africa,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00066,2024-01-03 17:00:00,10.0,Great service!,46-60,Female,Africa,1,Positive,2024-01,great service,Other
CUST00067,2024-01-03 18:00:00,4.0,Had issues with billing.,60+,Prefer not to say,Africa,0,Neutral,2024-01,issues billing,Other
CUST00068,2024-01-03 19:00:00,8.0,Price is too high.,26-35,Non-Binary,Europe,1,Positive,2024-01,price high,Pricing
CUST00069,2024-01-03 20:00:00,7.0,Shipping was fast.,26-35,Prefer not to say,Asia,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00070,2024-01-03 21:00:00,9.0,Great service!,36-45,Prefer not to say,Australia,1,Positive,2024-01,great service,Other
CUST00071,2024-01-03 22:00:00,8.0,Had issues with billing.,46-60,Non-Binary,South America,0,Neutral,2024-01,issues billing,Other
CUST00072,2024-01-03 23:00:00,5.0,Price is too high.,26-35,Female,Africa,0,Positive,2024-01,price high,Pricing
CUST00073,2024-01-04 00:00:00,2.0,Customer support was helpful.,60+,Prefer not to say,Asia,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00074,2024-01-04 01:00:00,5.0,Had issues with billing.,18-25,Non-Binary,Africa,0,Neutral,2024-01,issues billing,Other
CUST00075,2024-01-04 02:00:00,8.0,Very satisfied!,46-60,Female,Asia,0,Positive,2024-01,satisfied,Other
CUST00076,2024-01-04 03:00:00,10.0,Product quality needs improvement.,36-45,Non-Binary,South America,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00077,2024-01-04 04:00:00,9.0,Great service!,26-35,Female,North America,1,Positive,2024-01,great service,Other
CUST00078,2024-01-04 05:00:00,9.0,Great service!,60+,Prefer not to say,Europe,1,Positive,2024-01,great service,Other
CUST00079,2024-01-04 06:00:00,1.0,Great service!,46-60,Male,Australia,0,Positive,2024-01,great service,Other
CUST00080,2024-01-04 07:00:00,9.0,Price is too high.,60+,Non-Binary,North America,1,Positive,2024-01,price high,Pricing
CUST00081,2024-01-04 08:00:00,7.0,Very satisfied!,60+,Prefer not to say,South America,0,Positive,2024-01,satisfied,Other
CUST00082,2024-01-04 09:00:00,9.0,Had issues with billing.,36-45,Non-Binary,Europe,0,Neutral,2024-01,issues billing,Other
CUST00083,2024-01-04 10:00:00,8.0,Product quality needs improvement.,46-60,Non-Binary,Europe,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00084,2024-01-04 11:00:00,1.0,Very satisfied!,26-35,Female,Europe,0,Positive,2024-01,satisfied,Other
CUST00085,2024-01-04 12:00:00,8.0,Shipping was fast.,36-45,Non-Binary,South America,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00086,2024-01-04 13:00:00,8.0,Customer support was helpful.,26-35,Female,Africa,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00087,2024-01-04 14:00:00,3.0,Delivery was late.,18-25,Prefer not to say,Africa,1,Negative,2024-01,delivery late,Delivery Issues
CUST00088,2024-01-04 15:00:00,1.0,Very satisfied!,60+,Non-Binary,Africa,0,Positive,2024-01,satisfied,Other
CUST00089,2024-01-04 16:00:00,8.0,Shipping was fast.,18-25,Prefer not to say,North America,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00090,2024-01-04 17:00:00,3.0,Product quality needs improvement.,60+,Male,Australia,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00091,2024-01-04 18:00:00,3.0,Delivery was late.,36-45,Prefer not to say,Europe,1,Negative,2024-01,delivery late,Delivery Issues
CUST00092,2024-01-04 19:00:00,1.0,Delivery was late.,26-35,Non-Binary,Europe,0,Negative,2024-01,delivery late,Delivery Issues
CUST00093,2024-01-04 20:00:00,5.0,Very satisfied!,26-35,Male,North America,0,Positive,2024-01,satisfied,Other
CUST00094,2024-01-04 21:00:00,10.0,Great service!,36-45,Female,Africa,1,Positive,2024-01,great service,Other
CUST00095,2024-01-04 22:00:00,7.0,Website was easy to use.,46-60,Male,Europe,0,Positive,2024-01,website easy use,Other
CUST00096,2024-01-04 23:00:00,10.0,Product quality needs improvement.,18-25,Non-Binary,Europe,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00097,2024-01-05 00:00:00,9.0,Great service!,18-25,Non-Binary,South America,1,Positive,2024-01,great service,Other
CUST00098,2024-01-05 01:00:00,7.0,Product quality needs improvement.,26-35,Prefer not to say,Asia,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00099,2024-01-05 02:00:00,9.0,Website was easy to use.,26-35,Female,North America,0,Positive,2024-01,website easy use,Other
CUST00100,2024-01-05 03:00:00,8.0,Customer support was helpful.,26-35,Non-Binary,North America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00101,2024-01-05 04:00:00,2.0,Website was easy to use.,36-45,Non-Binary,Africa,1,Positive,2024-01,website easy use,Other
CUST00102,2024-01-05 05:00:00,1.0,Product did not meet expectations.,46-60,Female,North America,0,Neutral,2024-01,product meet expectations,Other
CUST00103,2024-01-05 06:00:00,7.0,Very satisfied!,18-25,Female,Africa,1,Positive,2024-01,satisfied,Other
CUST00104,2024-01-05 07:00:00,7.0,Very satisfied!,60+,Prefer not to say,South America,0,Positive,2024-01,satisfied,Other
CUST00105,2024-01-05 08:00:00,8.0,Shipping was fast.,36-45,Male,South America,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00106,2024-01-05 09:00:00,5.0,Great service!,18-25,Female,Australia,0,Positive,2024-01,great service,Other
CUST00107,2024-01-05 10:00:00,3.0,Shipping was fast.,46-60,Non-Binary,Africa,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00108,2024-01-05 11:00:00,8.0,Product did not meet expectations.,36-45,Female,South America,0,Neutral,2024-01,product meet expectations,Other
CUST00109,2024-01-05 12:00:00,6.0,Website was easy to use.,18-25,Non-Binary,Africa,1,Positive,2024-01,website easy use,Other
CUST00110,2024-01-05 13:00:00,3.0,Very satisfied!,36-45,Prefer not to say,North America,0,Positive,2024-01,satisfied,Other
CUST00111,2024-01-05 14:00:00,1.0,Price is too high.,18-25,Male,Australia,1,Positive,2024-01,price high,Pricing
CUST00112,2024-01-05 15:00:00,3.0,Website was easy to use.,18-25,Prefer not to say,Asia,0,Positive,2024-01,website easy use,Other
CUST00113,2024-01-05 16:00:00,5.0,Website was easy to use.,46-60,Female,Europe,0,Positive,2024-01,website easy use,Other
CUST00114,2024-01-05 17:00:00,3.0,Product did not meet expectations.,60+,Non-Binary,Europe,0,Neutral,2024-01,product meet expectations,Other
CUST00115,2024-01-05 18:00:00,1.0,Customer support was helpful.,46-60,Female,Australia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00116,2024-01-05 19:00:00,5.0,Product quality needs improvement.,18-25,Female,Africa,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00117,2024-01-05 20:00:00,10.0,Product did not meet expectations.,36-45,Female,Africa,0,Neutral,2024-01,product meet expectations,Other
CUST00118,2024-01-05 21:00:00,7.0,Product quality needs improvement.,46-60,Female,Africa,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00119,2024-01-05 22:00:00,7.0,Very satisfied!,60+,Male,Asia,0,Positive,2024-01,satisfied,Other
CUST00120,2024-01-05 23:00:00,9.0,Product did not meet expectations.,18-25,Non-Binary,Europe,0,Neutral,2024-01,product meet expectations,Other
CUST00121,2024-01-06 00:00:00,10.0,Product quality needs improvement.,46-60,Female,Australia,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00122,2024-01-06 01:00:00,10.0,Shipping was fast.,46-60,Non-Binary,Africa,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00123,2024-01-06 02:00:00,3.0,Product did not meet expectations.,46-60,Male,South America,1,Neutral,2024-01,product meet expectations,Other
CUST00124,2024-01-06 03:00:00,7.0,Very satisfied!,46-60,Non-Binary,North America,0,Positive,2024-01,satisfied,Other
CUST00125,2024-01-06 04:00:00,1.0,Product did not meet expectations.,36-45,Non-Binary,Asia,1,Neutral,2024-01,product meet expectations,Other
CUST00126,2024-01-06 05:00:00,,Very satisfied!,60+,Male,Africa,0,Positive,2024-01,satisfied,Other
CUST00127,2024-01-06 06:00:00,4.0,Product did not meet expectations.,60+,Female,Europe,0,Neutral,2024-01,product meet expectations,Other
CUST00128,2024-01-06 07:00:00,5.0,Product quality needs improvement.,18-25,Non-Binary,North America,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00129,2024-01-06 08:00:00,7.0,Customer support was helpful.,26-35,Prefer not to say,Australia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00130,2024-01-06 09:00:00,7.0,Had issues with billing.,36-45,Non-Binary,Africa,0,Neutral,2024-01,issues billing,Other
CUST00131,2024-01-06 10:00:00,4.0,Product quality needs improvement.,18-25,Female,Europe,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00132,2024-01-06 11:00:00,7.0,Great service!,18-25,Prefer not to say,North America,1,Positive,2024-01,great service,Other
CUST00133,2024-01-06 12:00:00,3.0,Delivery was late.,46-60,Female,South America,0,Negative,2024-01,delivery late,Delivery Issues
CUST00134,2024-01-06 13:00:00,6.0,Customer support was helpful.,26-35,Non-Binary,Asia,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00135,2024-01-06 14:00:00,2.0,Shipping was fast.,26-35,Male,Australia,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00136,2024-01-06 15:00:00,10.0,Website was easy to use.,36-45,Female,Europe,1,Positive,2024-01,website easy use,Other
CUST00137,2024-01-06 16:00:00,9.0,Product quality needs improvement.,26-35,Female,South America,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00138,2024-01-06 17:00:00,5.0,Product did not meet expectations.,18-25,Male,Asia,1,Neutral,2024-01,product meet expectations,Other
CUST00139,2024-01-06 18:00:00,6.0,Product quality needs improvement.,26-35,Non-Binary,Asia,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00140,2024-01-06 19:00:00,4.0,Price is too high.,26-35,Female,South America,0,Positive,2024-01,price high,Pricing
CUST00141,2024-01-06 20:00:00,10.0,Customer support was helpful.,60+,Non-Binary,Europe,0,Neutral,2024-01,customer support helpful,Customer Service
CUST00142,2024-01-06 21:00:00,7.0,Had issues with billing.,18-25,Non-Binary,Asia,0,Neutral,2024-01,issues billing,Other
CUST00143,2024-01-06 22:00:00,9.0,Shipping was fast.,26-35,Non-Binary,Australia,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00144,2024-01-06 23:00:00,7.0,Price is too high.,26-35,Male,North America,1,Positive,2024-01,price high,Pricing
CUST00145,2024-01-07 00:00:00,1.0,Very satisfied!,46-60,Non-Binary,Australia,0,Positive,2024-01,satisfied,Other
CUST00146,2024-01-07 01:00:00,1.0,Price is too high.,26-35,Non-Binary,Africa,0,Positive,2024-01,price high,Pricing
CUST00147,2024-01-07 02:00:00,9.0,Product quality needs improvement.,26-35,Prefer not to say,Asia,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00148,2024-01-07 03:00:00,9.0,Shipping was fast.,60+,Prefer not to say,North America,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00149,2024-01-07 04:00:00,4.0,Product quality needs improvement.,18-25,Prefer not to say,South America,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00150,2024-01-07 05:00:00,9.0,Very satisfied!,36-45,Female,North America,1,Positive,2024-01,satisfied,Other
CUST00151,2024-01-07 06:00:00,3.0,Website was easy to use.,18-25,Female,North America,0,Positive,2024-01,website easy use,Other
CUST00152,2024-01-07 07:00:00,7.0,Shipping was fast.,46-60,Prefer not to say,North America,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00153,2024-01-07 08:00:00,6.0,Website was easy to use.,18-25,Male,Asia,1,Positive,2024-01,website easy use,Other
CUST00154,2024-01-07 09:00:00,8.0,Customer support was helpful.,26-35,Male,Africa,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00155,2024-01-07 10:00:00,9.0,Customer support was helpful.,46-60,Prefer not to say,Africa,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00156,2024-01-07 11:00:00,5.0,Website was easy to use.,18-25,Female,Europe,1,Positive,2024-01,website easy use,Other
CUST00157,2024-01-07 12:00:00,1.0,Customer support was helpful.,46-60,Female,Africa,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00158,2024-01-07 13:00:00,3.0,Shipping was fast.,36-45,Male,Asia,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00159,2024-01-07 14:00:00,10.0,Product did not meet expectations.,18-25,Non-Binary,Europe,1,Neutral,2024-01,product meet expectations,Other
CUST00160,2024-01-07 15:00:00,8.0,Great service!,26-35,Male,South America,1,Positive,2024-01,great service,Other
CUST00161,2024-01-07 16:00:00,6.0,Customer support was helpful.,46-60,Non-Binary,South America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00162,2024-01-07 17:00:00,8.0,Customer support was helpful.,60+,Female,South America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00163,2024-01-07 18:00:00,9.0,Product quality needs improvement.,46-60,Female,South America,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00164,2024-01-07 19:00:00,4.0,Website was easy to use.,60+,Prefer not to say,South America,1,Positive,2024-01,website easy use,Other
